"id","campaignid","sample","family","genus","species","length","number","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Haemulidae","Diagramma","pictum labiosum",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Labridae","Bodianus","bilunulatus",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Labridae","Bodianus","solatus",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Labridae","Bodianus","spp",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Labridae","Bodianus","vulpinus",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Labridae","Choerodon","rubescens",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Labridae","Coris","auricularis",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Labridae","Stethojulis","sp1",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Labridae","Stethojulis","spp",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Labridae","Suezichthys","cyanolaemus",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Labridae","Unknown","sp",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Labridae","Unknown","spp",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Labridae","Unknown",NA,NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Lethrinidae","Gymnocranius","grandoculis",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Lethrinidae","Gymnocranius","spp",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Lethrinidae","Lethrinus","miniatus",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Lethrinidae","Lethrinus","nebulosus",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Lethrinidae","Lethrinus","ravus",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Lutjanidae","Pristipomoides","multidens",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Lutjanidae","Pristipomoides","spp",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Lutjanidae","Pristipomoides","typus",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Monacanthidae","Eubalichthys","caeruleoguttatus",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Monacanthidae","Nelusetta","ayraud",585.30928,1,1619.39395,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Monacanthidae","Unknown","spp",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Monacanthidae","Unknown",NA,NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Mullidae","Parupeneus","chrysopleuron",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Mullidae","Parupeneus","spilurus",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Muraenidae","Gymnothorax","thyrsoideus",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Muraenidae","Gymnothorax","woodwardi",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Muraenidae","Unknown",NA,NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Nemipteridae","Pentapodus","nagasakiensis",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Nemipteridae","Pentapodus","spp",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Ostraciidae","Tetrosomus","reipublicae",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Pinguipedidae","Parapercis","nebulosa",68.57177,1,1004.17382,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Pinguipedidae","Unknown","spp",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Pomacanthidae","Chaetodontoplus","personifer",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Pomacentridae","Chromis","spp",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Rachycentridae","Rachycentron","canadum",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Rhinidae","Rhynchobatus","australiae",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Scaridae","Scarus","sp3",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Scombridae","Scomberomorus","spp",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Serranidae","Epinephelus","areolatus",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Serranidae","Epinephelus","morrhua",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Serranidae","Epinephelus","rivulatus",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",367.40997,1,1530.25354,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",303.44706,1,1284.89741,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",327.17062,1,1277.9053,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",292.07022,1,1382.25058,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sphyrnidae","Sphyrna","lewini",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Lagocephalus","sceleratus",424.6619,1,2695.93282,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Lagocephalus","sceleratus",591.70621,1,3868.42491,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Unknown","sp1",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Unknown","spp",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Triakidae","Hemitriakis","falcata",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Triakidae","Mustelus","spp",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10",NA,NA,NA,NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Apogonidae","Ostorhinchus","spp",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Ariidae","Netuma","thalassina",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Carangidae","Carangoides","fulvoguttatus",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Carangidae","Carangoides","spp",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Carangidae","Decapterus","spp",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Carangidae","Pseudocaranx","spp",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Carangidae","Seriola","dumerili",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Carangidae","Seriola","hippos",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Carangidae","Unknown","sp10",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Carangidae","Unknown","spp",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Carcharhinidae","Carcharhinus","albimarginatus",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Carcharhinidae","Carcharhinus","plumbeus",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Carcharhinidae","Carcharhinus","spp",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Carcharhinidae","Galeocerdo","cuvier",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Chaetodontidae","Chaetodon","assarius",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Cirrhitidae","Paracirrhites","forsteri",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Dasyatidae","Taeniurops","meyeni",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Gerreidae","Unknown","spp",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Glaucosomatidae","Glaucosoma","buergeri",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Haemulidae","Diagramma","pictum labiosum",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Labridae","Bodianus","bilunulatus",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs.npz6.12","2021-05_Abrolhos_stereo-BRUVs","npz6.12","Labridae","Bodianus","solatus",NA,0,NA,-28.0512,113.2763,20210512,13:48:00,"NPZ6","No-take","npz6.12",185,"-","No","No"
